name,category,duration,energy_level,social_context,lat,lng,tags,source_url,source_name,start_date,image_url
"ESOL: Beginning Conversation Class","Movement",90,3,"Either",,,"movement|event|outdoor|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260111912?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/images/9a519182ff5490a9d6dbaa67188397ea.jpg"
"ESOL: English As A Second Language Can Be Fun!","Movement",90,3,"Either",,,"movement|event|outdoor|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260112455?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/images/9a519182ff5490a9d6dbaa67188397ea.jpg"
"ESOL: English As A Second Language Can Be Fun!","Movement",90,3,"Either",,,"movement|event|outdoor|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260112456?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/images/9a519182ff5490a9d6dbaa67188397ea.jpg"
"ESOL: Intermediate Conversation Class","Movement",90,3,"Either",,,"movement|event|outdoor|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260111898?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/images/9a519182ff5490a9d6dbaa67188397ea.jpg"
"ESOL: Intermediate Conversation Class","Movement",90,3,"Either",,,"movement|event|outdoor|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260111899?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/images/9a519182ff5490a9d6dbaa67188397ea.jpg"
"ESOL: Intermediate Conversation Class","Movement",90,3,"Either",,,"movement|event|outdoor|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260111900?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/images/9a519182ff5490a9d6dbaa67188397ea.jpg"
"Encore Presentation: ""Hamilton"" (2020)","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260126253?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/images/3795319de14a76029a3c4b8e7c187db6.jpg"
"Family Play Time - Fridays","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260126465?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/f0299c0a5513fa86a93e9ae5d2b18162.png"
"Family Storytime","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/221520?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/c04e337f8dd5c5bcfef18f968ef39bbe.png"
"Family Storytime","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/221670?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/00797608be5206342f02438fa91324c9.png"
"Movies That Matter with Tom Samp: Families (1970-1996)","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/219691?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/97cffdc2e8c64d3ae5b14b5537a44a69.png"
"Spring Training","Movement",90,3,"Either",,,"movement|event|outdoor|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260118119?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","February 22 - March 21","https://org-images.withapps.io/16/resources/6442884e050d9e1572c497301ccb64f7.png"
"Exhibition | Still in the Saddle","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260116204?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","January 29 - December 2026","https://org-images.withapps.io/16/resources/1bbb6f8c2d545370c9302ef9f00301a3.png"
"Family Play Time","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260131317?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/6767467b9cb6215e2d5499854d9018e6.png"
"Family Storytime","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/221521?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/c04e337f8dd5c5bcfef18f968ef39bbe.png"
"Family Storytime","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260113576?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/images/8856857fea96f33db51c3570e6b8f302.jpg"
"Family Storytime","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/221671?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/00797608be5206342f02438fa91324c9.png"
"Family Storytime","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/221522?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/c04e337f8dd5c5bcfef18f968ef39bbe.png"
"Family Storytime","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/221672?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/00797608be5206342f02438fa91324c9.png"
"Full STEAM Ahead: Make Some Noise","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260112954?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/e866b742fe7829a88a9b0320da2f913e.png"
"Good Guys Spring Nationals","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/218532?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/48800a59b31cacb248ce621ea4977e06.png"
"Granite Reef Senior Center - 20th Anniversary","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260127802?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/2e286c50fb1d04efe38e75a079e0a80f.png"
